name,price,pioneer,modern,legacy,cEDH,edhPopularity,uuid,colorIdentity,flavorText,isPromo,keywords,manaValue,printings,rarity,subtypes,Legendary,text,types,variations
Aetherflux Reservoir,287.24,0.044,0,0,0,23096,fdf7c17e-56ed-5a4d-8d28-a15a25183b90,Colorless,"""These estimates are conservative. Its true capacity may be far, far greater.""\n—Research notes, signature illegible",FALSE,,4,"BRR, KLD, KLR, PKLD, PLST",mythic,,FALSE,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target.",Artifact,"09425292-e65b-5127-8caa-511d1aa96e05, f7101c1c-6859-5ea6-8866-3b8a4d0327d7"
Aftermath Analyst,2.77,0,0.022,0,0,20981,b1ae47e9-983d-5254-be0d-a947b60ad406,Green,"""Could someone bring me more evidence markers? Like . . . a lot more?""",FALSE,Mill,2,MKM,uncommon,"Elf, Detective",FALSE,"When Aftermath Analyst enters, mill three cards.\n{3}{G}, Sacrifice Aftermath Analyst: Return all land cards from your graveyard to the battlefield tapped.",Creature,
Agatha's Soul Cauldron,27.75,0,0.018,0.045,0.122,21494,aaf24b85-b4ac-55c3-81c9-c46632d23e3a,Colorless,,FALSE,,2,"PWOE, WOE",mythic,,TRUE,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.\nCreatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.\n{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Artifact,2e211814-80eb-5ab1-86dc-51a377a159c2
Agatha's Soul Cauldron,30.32,0,0.018,0.045,0.122,21494,e50b41c4-5199-500b-856c-f9bd3c500953,Colorless,,TRUE,,2,"PWOE, WOE",mythic,,TRUE,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.\nCreatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.\n{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Artifact,2fd3bb58-f997-5e14-a689-498f5ccc9141
Agatha's Soul Cauldron,40.58,0,0.018,0.045,0.122,21494,2e211814-80eb-5ab1-86dc-51a377a159c2,Colorless,,FALSE,,2,"PWOE, WOE",mythic,,TRUE,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.\nCreatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.\n{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Artifact,aaf24b85-b4ac-55c3-81c9-c46632d23e3a
Agatha's Soul Cauldron,51.93,0,0.018,0.045,0.122,21494,2fd3bb58-f997-5e14-a689-498f5ccc9141,Colorless,,TRUE,,2,"PWOE, WOE",mythic,,TRUE,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.\nCreatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.\n{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Artifact,e50b41c4-5199-500b-856c-f9bd3c500953
All Is Dust,9.38,0,0.11,0,0,22515,2c10bec7-d836-55c3-b43e-7d5808960f2d,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",mythic,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,7.01,0,0.11,0,0,22517,d74bdeba-d5d7-5661-a7a5-fe06b3012b67,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",rare,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,7.36,0,0.11,0,0,22517,3469ae47-c0d4-5252-89e4-154448a2efb1,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",rare,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,8.12,0,0.11,0,0,22517,05c7bdc4-44ed-5902-83cb-e8dfec9afba0,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",rare,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,10.19,0,0.11,0,0,22517,d129403d-3266-5ecf-bf37-a2a876d158b7,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",mythic,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,21.89,0,0.11,0,0,22517,ac85400f-4c72-5633-8e48-bc6ac15a9ee6,Colorless,,FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",rare,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,22.38,0,0.11,0,0,22517,ceeeaa92-ff8e-5943-8842-3bb7efa6b673,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",FALSE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",mythic,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
All Is Dust,35.19,0,0.11,0,0,22517,dfff2a47-871c-54d2-b372-3e4c14d1dbea,Colorless,"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",TRUE,,7,"CMM, M3C, MM2, PGPX, PLST, ROE, SLD, UMA",mythic,Eldrazi,FALSE,Each player sacrifices all permanents they control that are one or more colors.,"Kindred, Sorcery",
Allosaurus Shepherd,24.32,0,0,0.015,0,22090,88a0e731-383e-5584-ae5b-eb678fbe3221,Green,,FALSE,,1,"2X2, JMP, PRM",mythic,"Elf, Shaman",FALSE,"This spell can't be countered.\nGreen spells you control can't be countered.\n{4}{G}{G}: Until end of turn, each Elf creature you control has base power and toughness 5/5 and becomes a Dinosaur in addition to its other creature types.",Creature,"a7c8a3fc-9af8-57b0-92f3-6fe75c775509, fab78aec-1c4b-525c-a166-bcfec63fc359"
Allosaurus Shepherd,24.4,0,0,0.015,0,22090,4cb25159-6cd8-59e2-92e5-d3fd295a76bf,Green,,FALSE,,1,"2X2, JMP, PRM",mythic,"Elf, Shaman",FALSE,"This spell can't be countered.\nGreen spells you control can't be countered.\n{4}{G}{G}: Until end of turn, each Elf creature you control has base power and toughness 5/5 and becomes a Dinosaur in addition to its other creature types.",Creature,
Allosaurus Shepherd,24.66,0,0,0.015,0,22090,a7c8a3fc-9af8-57b0-92f3-6fe75c775509,Green,,FALSE,,1,"2X2, JMP, PRM",mythic,"Elf, Shaman",FALSE,"This spell can't be countered.\nGreen spells you control can't be countered.\n{4}{G}{G}: Until end of turn, each Elf creature you control has base power and toughness 5/5 and becomes a Dinosaur in addition to its other creature types.",Creature,"88a0e731-383e-5584-ae5b-eb678fbe3221, fab78aec-1c4b-525c-a166-bcfec63fc359"
Allosaurus Shepherd,32.29,0,0,0.015,0,22090,fab78aec-1c4b-525c-a166-bcfec63fc359,Green,,FALSE,,1,"2X2, JMP, PRM",mythic,"Elf, Shaman",FALSE,"This spell can't be countered.\nGreen spells you control can't be countered.\n{4}{G}{G}: Until end of turn, each Elf creature you control has base power and toughness 5/5 and becomes a Dinosaur in addition to its other creature types.",Creature,"88a0e731-383e-5584-ae5b-eb678fbe3221, a7c8a3fc-9af8-57b0-92f3-6fe75c775509"
Aloe Alchemist,0.14,0.044,0,0,0,6653,5f9dbd63-183e-5ebe-9cfb-dcd09825be23,Green,,FALSE,"Plot, Trample",2,OTJ,uncommon,"Plant, Warlock",FALSE,"Trample\nWhen Aloe Alchemist becomes plotted, target creature gets +3/+2 and gains trample until end of turn.\nPlot {1}{G} (You may pay {1}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",Creature,
Amalia Benavides Aguirre,1.59,0.046,0,0,0,18542,ba612d76-f889-5e7a-9838-8ad336fe7ae1,"Black, White",,FALSE,"Explore, Ward",2,"LCI, PLCI",rare,"Vampire, Scout",TRUE,"Ward—Pay 3 life.\nWhenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature,92e26b32-eea8-5d45-989e-47b7b0c2e33f
Amalia Benavides Aguirre,1.59,0.046,0,0,0,18542,92e26b32-eea8-5d45-989e-47b7b0c2e33f,"Black, White",,FALSE,"Explore, Ward",2,"LCI, PLCI",rare,"Vampire, Scout",TRUE,"Ward—Pay 3 life.\nWhenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature,ba612d76-f889-5e7a-9838-8ad336fe7ae1
Amalia Benavides Aguirre,1.05,0.046,0,0,0,18556,8cf3732e-d0fa-594e-bd46-fbd29533c554,"Black, White",,TRUE,"Explore, Ward",2,"LCI, PLCI",rare,"Vampire, Scout",TRUE,"Ward—Pay 3 life.\nWhenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature,0a1f61ef-84f1-5dd7-8228-3ea818924b1d
Amalia Benavides Aguirre,2.21,0.046,0,0,0,18556,0a1f61ef-84f1-5dd7-8228-3ea818924b1d,"Black, White",,TRUE,"Explore, Ward",2,"LCI, PLCI",rare,"Vampire, Scout",TRUE,"Ward—Pay 3 life.\nWhenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature,8cf3732e-d0fa-594e-bd46-fbd29533c554
Amped Raptor,0.7,0,0.247,0,0,12615,ee0375ba-2584-52f6-9298-ebc4a04da059,Red,,FALSE,First strike,2,MH3,uncommon,Dinosaur,FALSE,"First strike\nWhen Amped Raptor enters, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost.",Creature,60c3de45-8c59-5e66-9e9e-193931c3f8f4
Amped Raptor,9.62,0,0.247,0,0,12615,60c3de45-8c59-5e66-9e9e-193931c3f8f4,Red,,FALSE,First strike,2,MH3,uncommon,Dinosaur,FALSE,"First strike\nWhen Amped Raptor enters, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost.",Creature,ee0375ba-2584-52f6-9298-ebc4a04da059
Amulet of Vigor,34.49,0,0.033,0,0,21654,daec7c95-77d6-5e78-8640-106fcacac9f9,Colorless,"""Everyone is obsessed with this cosmium stuff, but I can sense some kind of comparable power in this droplet of ancient amber.""\n—Quintorius Kand, research notes",FALSE,,1,"LCC, PLST, SLD, WWK",rare,,FALSE,"Whenever a permanent you control enters tapped, untap it.",Artifact,
Amulet of Vigor,26.43,0,0.033,0,0,21655,dc318732-0dfa-546b-b42e-0d7b3c6bfda6,Colorless,"""After years of study, I've learned an important lesson: the relics we watch may be watching us back.""\n—Anowon, the Ruin Sage",FALSE,,1,"LCC, PLST, SLD, WWK",rare,,FALSE,"Whenever a permanent you control enters tapped, untap it.",Artifact,
Amulet of Vigor,28.9,0,0.033,0,0,21655,635685a0-fcc4-5ff0-af0c-bf4e291923bd,Colorless,"""After years of study, I've learned an important lesson: the relics we watch may be watching us back.""\n—Anowon, the Ruin Sage",FALSE,,1,"LCC, PLST, SLD, WWK",rare,,FALSE,"Whenever a permanent you control enters tapped, untap it.",Artifact,
Amulet of Vigor,30.78,0,0.033,0,0,21655,15d2153c-840b-54b3-a740-faa289453e81,Colorless,"""Angels guide me while I wake,\nand I will watch for evil's creep.\nAngels guard me while I dream,\nand I will rest in peaceful sleep.""\n—Amulet inscription",FALSE,,1,"LCC, PLST, SLD, WWK",rare,,FALSE,"Whenever a permanent you control enters tapped, untap it.",Artifact,
An Offer You Can't Refuse,3.4,0,0,0,0.522,23308,3b3a2710-0144-57f4-85d1-891164a77eb6,Blue,Elspeth wanted answers. Xander needed a spy. Their paths were destined to cross.,FALSE,Treasure,1,"BLC, PLST, SLP, SNC",uncommon,,FALSE,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Instant,
An Offer You Can't Refuse,3.68,0,0,0,0.522,23308,1353cfed-ac40-52af-8f91-c34f51be1573,Blue,Elspeth wanted answers. Xander needed a spy. Their paths were destined to cross.,FALSE,Treasure,1,"BLC, PLST, SLP, SNC",uncommon,,FALSE,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Instant,83cbd9e2-2c30-5edf-a86f-381a55de614a
